Deal Name,FLY Allocation
Bon Banh Mi - Downtown - New Deal,"500,000"
Bon Banh Mi - S. Mt. Pleasant - New Deal,"500,000"
Last Drop Tavern,"250,000"
Roxanne Cafe,"250,000"
Blinky's - New Deal,"250,000"
Dento Piano Cafe and Bar - SF Breakfast Club,"250,000"
Little Honey - New Deal,"250,000"
Nick and Toni's - New Deal,"250,000"
La Fondita - New Deal,"250,000"
Townline BBQ - New Deal,"250,000"
Rowdy Hall - New Deal,"250,000"
Cohche Comedor - New Deal,"250,000"
Wild Common,"250,000"
Costa,"250,000"
"The Restaurant at Zero George Messaging as a Service / VIP Handling, Regulars","250,000"
Jane on Fillmore,"250,000"
Jane the Bakery,"250,000"
Jane on Larkin - Breakfast Club,"250,000"
El Porteno - New Deal,"250,000"
"El Porteno (2nd, SF) - New Deal","250,000"
Almond Bridgehampton - New Deal,"250,000"
Shuggie's - New Deal,"250,000"
The Ten Bells BK - New Deal,"250,000"
Cora - New Deal,"250,000"
La Newyorkina (Red Hook) - New Deal,"250,000"
Mijo (High Line) - New Deal,"250,000"
La Newyorkina (HighLine) - New Deal,"250,000"
Stretch Pizza,"250,000"
Sound Booth,0
Nabila's - New Deal,"250,000"
Hortus,"250,000"
Bar Maritime - New Deal,"250,000"
Paper Son Coffee (3rd St) - New Deal,"250,000"
Carissa's the Bakery - Bay Street Sag Harbor,"250,000"
Carissa's the Bakery - Newtown East Hampton,"250,000"
Carissa's the Bakery - Amagansett - New Deal,"250,000"
L&W Market - New Deal,"250,000"
Blackwood - New Deal,"250,000"
Lost Cat Bar & Bites - New Deal,"250,000"
Carta Wine Bar - New Deal,"250,000"
Umbra - New Deal,"250,000"
Lazy Sundaes (dumbo) - New Deal,"250,000"
Lazy Sundae (Greenwich Village) - New Deal,"250,000"
Lazy Sundaes (LES) - New Deal,"250,000"
Fresno - New Deal,"250,000"
Bar Six - New Deal,"250,000"
Clam Bar - New Deal,"250,000"
"California Kahve (Lincoln, Presidio) - New Deal","500,000"
"California Kahve (GG Park, Kezar) - New Deal","250,000"
California Kahve (JFK Promenade) - New Deal,"250,000"
Sunns - New Deal,"250,000"
Tolo - New Deal,"250,000"
Mitsuru - New Deal,"250,000"
Aftermath - New Deal,"250,000"
Rintaro - New Deal,"250,000"
Rosalind Bakery Cafe,"250,000"
Stretch Pizza Williamsburg - New Deal,"250,000"
Saison Cellar & Wine Bar - New Deal,"250,000"
WenWen,"250,000"
"886 (886, WenWen)","250,000"
Velvet Cowboy - New Deal,"250,000"
Tiki Chick - New Deal,"250,000"
Maison Pickle - New Deal,"250,000"
Jacob's Pickles Moynihan - New Deal,"250,000"
Jacob's Pickles - New Deal,"250,000"
Jacob's Pickles Norwalk- New Deal,"250,000"
Cafe Ornithology - New Deal,"250,000"
Ilis - New Deal,"250,000"
PENELOPE'S COFFEE & TEA - (SF) New Deal,"250,000"
Ocean Beach Cafe - SF Breakfast Club,"250,000"
Penelope's Coffee & Tea (FC) - New Deal,"250,000"
Bernie's - New Deal,"250,000"
Thief Cafe - New Deal,"250,000"
Trellis - SF Breakfast Club,"250,000"
Viva Goa Indian Cuisine - New Deal,"250,000"
Penelope's Coffee & Tea (SM) - New Deal,"250,000"
Penelope's Coffee & Tea - (Berkeley) New Deal,"250,000"
Charles Pan Fried Chicken (Harlem West Side) - New Deal,"250,000"
Charles Pan Fried Chicken (Harlem Flagship) - New Deal,"250,000"
Charles Pan Fried Chicken (UWS) - New Deal,"250,000"
Hart Bar - New Deal,"250,000"
Ace Eat Serve (DEN) - New Deal,"250,000"
Steuben’s (DEN) - New Deal,"250,000"
The Sandwich Monkey (SF) - New Deal,"250,000"
The Sandwich Monkey (FC) - New Deal,"250,000"
Barn Joo (UNION SQUARE),"250,000"
Adda EV - New Deal,"250,000"
Subject: A Cocktail Bar - New Deal,"250,000"
Disco Birdies - New Deal,"250,000"
For All Things Good Bed-Stuy - New Deal,"250,000"
Shinji's - New Deal,"250,000"
THE SANDWICH BOARD - Family Style,0
Katsubo Ramen - New Deal,"250,000"
Dive Bar Pizza - New Deal,"250,000"
Temple Bar - New Deal,"250,000"
Meeting House,"250,000"
Springs Tavern and Grill - New Deal,"250,000"
L'avion Café - New Deal,"250,000"
The Drunken Munkey - New Deal,"250,000"
Lunch (Lobster Roll Restaurant) - Amagansett,"250,000"
Lunch (Lobster Roll Restaurant) - Southampton,"250,000"
Bird on the Roof - New Deal,"250,000"
BLT Prime (NYC) - New Deal,"250,000"
BLT Prime Doral - New Deal,"250,000"
The Florentine Chicago - New Deal,"250,000"
Paulie Gee's - New Deal,"250,000"
Friend of a Farmer (UWS) - New Deal,"250,000"
Friend of a Farmer (Gramercy),"250,000"
Fini Pizza - Amagansett,"250,000"
Komaaj,"250,000"
KUMISO - New Deal,"250,000"
Momofuku (Noodle Bar) - East Village,"250,000"
Namiro Sushi - New Deal,Contract not found
Smokey Buns - New Deal,"250,000"
The Green Room - New Deal,Contract not found
K Pasa - New Deal,"250,000"
Claude's @ Southampton Inn - New Deal,Contract not found
Sen - New Deal,"250,000"
Bistro Ete - New Deal,"250,000"
"Junoon (Junoon, Jazba)","250,000"
Jazba,"250,000"
Guantanamera - New Deal,"250,000"
Tallow- New Deal,"250,000"
Sagaponack General Store - New Deal,"250,000"
Montauk Project - New Deal,"250,000"
Broome Street Project - New Deal,"250,000"
Amélie - New Deal,"250,000"
Pil Pil - New Deal,"250,000"
Dive Bar Pizza Slice Counter - New Deal,0
Suki Zuki - New Deal,"250,000"
Merv's Bar - New Deal,"250,000"
Ra-ra Rhino - New Deal,"250,000"
Spike's Coffee & Teas - New Deal,"250,000"
Frasca Hospitality Group,"250,000"
Frasca Food and Wine,"250,000"
Sunday Vinyl,"250,000"
Tavernetta,"250,000"
Osteria Alberico,"250,000"
Pizzeria Alberico,"250,000"
a.kitchen + bar DC- New Deal,"250,000"
Jônt - New Deal,"250,000"
Bresca,"250,000"
Champagne Tiger,"250,000"
My Brother's Bar,"250,000"
Shuko,"250,000"
Tootles & French,"250,000"
The Morris - New Deal,"250,000"
YH-Beijing,"250,000"
QUATORZE - New Deal,"250,000"
Sushi of Gari (UES) - New Deal,"250,000"
Sushi of Gari 46 - New Deal,"250,000"
Sushi of Gari UWS - New Deal,"250,000"
Table d'Hôte - New Deal,"250,000"
Republic Latin Fusion - New Deal,"250,000"
Sea Wolf - New Deal,"250,000"
Paper Coffee at Made Hotel,0
Lobby Bar at MADE Hotel - New Deal,0
Amen Street Fish & Raw Bar - New Deal,"250,000"
Little Line Kitchen & Provisions - New Deal,"250,000"
Petite Cerise,"250,000"
Iggy's Place,"250,000"
Bierstadt Lagerhaus,"250,000"
Wild Taco (Capitol Hill),"250,000"
Wild Taco (Berkeley-DEN) - New Deal,"250,000"
Tufino Pizzeria Napoletana,"250,000"
Chi Restaurant,"250,000"
Holy City Brewing,"250,000"
Nick's Pizza - New Deal,"250,000"
The Lost Draft - New Deal,"250,000"
Sabai Thai,"500,000"
Harborview - New Deal,"250,000"
Luchador Taco,"250,000"
Tapori - New Deal,"250,000"
Daru,"250,000"
Friedman's,"250,000"
Wu and Nussbaum - New Deal,"250,000"
Suram Herald Square - New Deal,"250,000"
Suram Hudson Yards - New Deal,"250,000"
Suram UWS - New Deal,"250,000"
Casa Louie - New Deal,"250,000"
Pick A Bagel Broadway - New Deal,"250,000"
Pick A Bagel Hudson Yards - New Deal,"250,000"
Pick A Bagel West End - New Deal,"250,000"
Pick A Bagel Columbus Circle - New Deal,"250,000"
Pick A Bagel Vesey - New Deal,"250,000"
Pastrami Queen Moynihan food hall - New Deal,"250,000"
Pastrami Queen UWS - New Deal,"250,000"
Milk N Honey - New Deal,"250,000"
Pastrami Queen UES - New Deal,"250,000"
La Salle Dumpling Room 1411 York Ave - New Deal,"250,000"
La Salle Dumpling Room 3141 Broadway - New Deal,"250,000"
La Salle Dumpling Room 37 West End Ave - New Deal,"250,000"
La Salle Dumpling 2897 Broadway - New Deal,"250,000"
Kossars West End Ave - New Deal,"250,000"
Kossars Hudson Yards - New Deal,"250,000"
Kossars Upper West Side - New Deal,"250,000"
Kossars Lower East Side - New Deal,"250,000"
Kossars Upper East Side - New Deal,"250,000"
Finns Bagels - New Deal,"250,000"
Community Food and Juice - New Deal,"250,000"
Friedmans West End - New Deal,"250,000"
Friedmans Edison Theatre District - New Deal,"250,000"
Friedmans 72nd Street - New Deal,"250,000"
Friedmans Herald Square On 31 - New Deal,"250,000"
Friedmans Hell's Kitchen - New Deal,"250,000"
Friedmans Battery Park - New Deal,"250,000"
Friedmans Chelsea - New Deal,"250,000"
Miss Wonton - New Deal,"250,000"
Ham & Cheese Deli - New Deal,"250,000"
Laurel Bakery - New Deal,"250,000"
Cafe Mado - New Deal,"250,000"
Place des Fêtes - New Deal,"250,000"
Upstate Stock Cafe - New Deal,"250,000"
Deux Luxe - New Deal,"250,000"
Tha Phraya (new 2nd location) - New Deal,"250,000"
Tha Phraya - New Deal,"250,000"
Oti - New Deal,"250,000"
Dear Strangers - New Deal,"500,000"
SOOGIL - New Deal,"250,000"
Raon - New Deal,"250,000"
Little Beaver - New Deal,"250,000"
Bonus Room - New Deal,"250,000"
Heavy Woods - New Deal,"250,000"
EJ's Luncheonette - New Deal,"250,000"
Leon 1909 - New Deal,"250,000"
Essential - New Deal,"250,000"
Monte's At the Manor Cafe - New Deal,"250,000"
Monte's At the Manor - New Deal,"250,000"
Fish N Beer - New Deal,"250,000"
Tacos Tequila Whiskey - New Deal,"250,000"
QUICK ETERNITY - New Deal,"250,000"
Misi - New Deal,"250,000"
Misipasta - New Deal,"250,000"
Lilia - New Deal,"250,000"
Fini Pizza - New Deal,"250,000"
Fanoos Grills - New Deal,"250,000"
Sandro's - New Deal,"250,000"
Ten Bells - New Deal,"250,000"
Yingtao - New Deal,"250,000"
Le Farfalle - New Deal,"250,000"
The Bronze Owl - New Deal,"250,000"
NoHo Hospitality Group - New Deal,"250,000"
Bella Luna - New Deal,"250,000"
E&O Kitchen and Bar - New Deal,"250,000"
Go Nonna - New Deal,"250,000"
Meili,"250,000"
Meili Rooftop,"250,000"
Wonderland Bar,"250,000"
Alba Pizza,"250,000"
Chili - New Deal,"250,000"
Bāng Bar - New Deal,"250,000"
Fish Cheeks Williamsburg - New Deal,"250,000"
Coco's Ramen - New Deal,"250,000"
Mother's Ruin NYC - New Deal,"250,000"
The Dutch,"200,000"
Lafayette,"200,000"
Bar Primi NoHo,"200,000"
Locanda Verde Tribeca,"200,000"
Locanda Verde Hudson Yards,"200,000"
Joe's Pub,"200,000"
Diwali Indian Cuisine - New Deal,"250,000"
Saucey Pizza Bar - New Deal,"250,000"
Hungry Llama Cafe - New Deal,"250,000"
Filthy Diamond BK - New Deal,"250,000"
Do Not Feed Alligators - New Deal,"250,000"
Do Not Feed Alligators Montauk - New Deal,"250,000"
Westlight,"200,000"
Leuca,"200,000"
Little Fino,"200,000"
Carne Mare NYC,"200,000"
Cafe Carmellini,"200,000"
The Portrait Bar,"200,000"
Bar Torino,"200,000"
Mister Dips NYC,"200,000"
Mister Dips Detroit,"200,000"
San Morello,"200,000"
Evening Bar,"200,000"
The Brakeman,"200,000"
Penny Red's,"200,000"
Mecha Noodle Bar (Denver) - New Deal,"250,000"
Carne - New Deal,"250,000"
Work & Class - New Deal,"250,000"
Tasca - New Deal,"250,000"
Rec Pier Chop House,"250,000"
Carne Mare Nashville,"250,000"
Jax Fish House & Oyster Bar Boulder,"250,000"
Jax Fish House & Oyster Bar LoDo,"250,000"
"Jax Fish House & Oyster Bar, Ft Collins","250,000"
Jax Fish House & Oyster Bar Glendale,"250,000"
Evelina - New Deal,"250,000"
Jax Fish House & Oyster Bar Coloardo Springs,"250,000"
Rosticceria Evelina - New Deal,"250,000"
The Post Lafayette,"250,000"
The Post Longmont,"250,000"
The Post Rosedale,"250,000"
Gelato di Evelina - New Deal,"250,000"
Maison May - New Deal,"250,000"
Phil’s - New Deal,"250,000"
The Post Boulder,"250,000"
The Post Estes Park,"250,000"
West End Tavern,"250,000"
Centro Mexican Kitchen,"250,000"
Velvet Elk Lounge,"250,000"
Wonder Press Juice,"250,000"
Maison Sun - New Deal,"250,000"
The MOUTH Bar + Restaurant - New Deal,"250,000"
Fisch & Flore - New Deal,"250,000"
Mister Oso RiNo,"250,000"
Golden Diner - New Deal,"250,000"
Mister Oso Wash Park,"250,000"
Golden HOF - New Deal,"250,000"
Mister Oso Boulder,"250,000"
Senor Bear,"250,000"
Ash Kara,"250,000"
A5 Steakhouse,"250,000"
Aviano,"250,000"
Ay Papi,"250,000"
Bar Dough,"250,000"
Forget Me Not,"250,000"
Fox and the Hen,"250,000"
Kumoya,"250,000"
Tap & Burger Highland,"250,000"
Tap and Burger Bellview,"250,000"
Tap & Burger Westminster,"250,000"
Maloya - New Deal,"250,000"
NADC Burger - Soho - New Deal,"250,000"
NADC Burger -Denver- New Deal,"250,000"
Laliko - New Deal,"250,000"
Cart Driver - New Deal,"500,000"
Spice Room (West Highland) - New Deal,"250,000"
"Spice Room (Colfax, DEN) - New Deal","250,000"
Spice Room (Arvada) - New Deal,"250,000"
NADC Burger- Nash- New Deal,"250,000"
NADC Burger - Chi - New Deal,"250,000"
NADC Burger - Chi 2- New Deal,"250,000"
Aquarelle - New Deal,"250,000"
EVO Pizzeria - New Deal,"250,000"
EVO Craft Bakery - New Deal,"250,000"
La Petite Joie - New Deal,"250,000"
Dar525 - New Deal,"250,000"
Dar525 (Bed-stuy) - New Deal,"250,000"
Little Grenjai - New Deal,"250,000"
Smile To Go - New Deal,"250,000"
Georgia Room - New Deal,"250,000"
Bar Calico - New Deal,"250,000"
Pebble Bar - New Deal,"250,000"
Jac's on Bond - New Deal,"250,000"
Ray's LES - New Deal,"250,000"
Ray's Miami - New Deal,"250,000"
Ray's BK - New Deal,"250,000"
Ornithology Jazz Club - New Deal,"250,000"
Formosa Dumplings - New Deal,"250,000"
Motel No tell - New Deal,"250,000"
Bierhaus NYC - New Deal,"250,000"
Mad Dog & Beans Midtown - New Deal,"250,000"
Mad Dog & Beans Fidi - New Deal,"250,000"
Lucky Tiger - New Deal,"250,000"
Pappardella - New Deal,"500,000"
Broken Shaker LA - New Deal,"250,000"
Broken Shaker Miami - New Deal,"250,000"
Broken Shaker NYC - New Deal,"250,000"
Broken Shaker Chicago - New Deal,"250,000"
NADC Burger - Austin- New Deal,"250,000"
NADC Burger - Dallas- New Deal,"250,000"
NADC Burger - Austin W6th- New Deal,"250,000"
Kothai Republic - New Deal,"250,000"
Za-Ya - New Deal,"250,000"
River & Woods (Boulder),"250,000"
Mozzarella Di Bufala Pizzeria - New Deal,"250,000"
Designer Collab Speakeasy - New Deal,"250,000"
Milk Bar Williamsburg (Storefront) - New Deal,0
Milk Bar Williamsburg - New Deal,0
Milk Bar UWS - New Deal,0
Milk Bar East village - New Deal,0
Milk Bar West Village - New Deal,0
Milk Bar Nomad - New Deal,0
Milk Bar Nolita - New Deal,0
Milk Bar DC (Storefront) - New Deal,0
Milk Bar DC - New Deal,0
Milk Bar Nomad (Storefront) - New Deal,0
Milk Bar Las Vegas - New Deal,0
Milk Bar LA - New Deal,0
Dead Low - New Deal,"250,000"
Designer's Collab (Coffee shop) - New Deal,"250,000"
Brown Bag Sandwich Co - New Deal,"250,000"
manuela-nyc.com - New Deal,"250,000"
Elaia Estiatorio - New Deal,0
LoHi - New Deal,"250,000"
Radio Kwara - New Deal,"250,000"
Valla Table - New Deal,"250,000"
Kraam - New Deal,0
Jerry's Roast Pork - Embarcadero,"250,000"
Super Mega Bien,"250,000"
Palenque - New Deal,"250,000"
Left hand Coffee - New Deal,"250,000"
Left Hand Coffee MBH - New Deal,"250,000"
Montuak Beach House - New Deal,"250,000"
House Watch - New Deal,"250,000"
The Lobby Denver - New Deal,"250,000"
Heroic Italian - Berkeley - New Deal,"250,000"
Succotash Penn Quarter - New Deal,"250,000"
Succotash National Harbor - New Deal,"250,000"
Mi Vida 14th St - New Deal,"250,000"
Mi Vida District Wharf - New Deal,"250,000"
Mi Vida Penn Quarter - New Deal,"250,000"
Sagrada - New Deal,"250,000"
The Grill - New Deal,"250,000"
Gatsby - New Deal,"250,000"
Beresovsky's Deli - New Deal,"250,000"
Bistro Du Jour District Wharf- New Deal,"250,000"
Bistro Du Jour Capital Hill - New Deal,"250,000"
Happy Tuna - Hudson Yards- New Deal,"250,000"
Happy Tuna - Soho -New Deal,"250,000"
CO Restaurant - New Deal,"250,000"
Bernie's - SF Breakfast Club,"250,000"
Paradise Lost - New Deal,"250,000"
The Hamilton - New Deal,"250,000"
The Shakespeare - New Deal,"250,000"
The Hunterian - New Deal,"250,000"
Caledonia Bar (UES) - New Deal,"250,000"
Caledonia Bar (UWS) - New Deal,"250,000"
The Homestead - New Deal,"250,000"
The Hoptomist - New Deal,"250,000"
Farm and Forage East Hampton - New Deal,"250,000"
Farm and Forage Southhampton - New Deal,"250,000"
Doubles Ice Cream - New Deal,"250,000"
Casa Bond - New Deal,"250,000"
Messy - New Deal,"250,000"
Hirohisa - New Deal,"250,000"
Sushi Ikumi - New Deal,"250,000"
DamnFine - New Deal,"250,000"
Fable & Boas CVC deal,"250,000"
El Pollo Guapo (CHS) - New Deal,"250,000"
El Pollo Guapo (Glastonbury) - New Deal,"250,000"
El Pollo Guapo (Newington) - New Deal,"250,000"
El Pollo Guapo (Hartford) - New Deal,"250,000"
Olmo - New Deal,"250,000"
The Musket Room - New Deal,"250,000"
Container Bar - New Deal,Contract not found
"Tacolicious (24th, SF) - New Deal","250,000"
Tacolicious (P.A.) - New Deal,"250,000"
Claudia’s - New Deal,"250,000"
brewbrew - New Deal,"250,000"
Endswell - New Deal,"250,000"
FancyFree - New Deal,"250,000"
Le Pistol - New Deal,"250,000"
The Counter at Odell's - New Deal,"250,000"
Odell's Bagel - New Deal,"250,000"
Carmine's on McGregor Square - New Deal,"250,000"
Carmine's on Penn - New Deal,"250,000"
Santa Panza - New Deal,"250,000"
"NY', 'Bar Freda - New Deal",0
Juanita Greenberg's (Mt. Pleasant) - New Deal,"250,000"
Poke Burri (CHS) - New Deal,"250,000"
Kilo Bravo - New Deal,0
Echo Bravo - New Deal,0
Bar Sprezzatura,Contract not found
Ask Alita - New Deal,0
Witching Hour - New Deal,0
Juanita Greenberg's (Downtown) - New Deal,"250,000"
Mixed Ingredients - New Deal,0
Regina's Grocery - Brooklyn- New Deal,0
Regina's Grocery - SoHo -New Deal,0
Regina's Grocery - UES- New Deal,0
Tonchin BK- New Deal,0
Tonchin Midtown- New Deal,0
Tonchin LA - New Deal,0
Regina’s Grocery - LES New Deal,0
Hing Lung Company aka Go Duck Yourself - New Deal,"250,000"
Bowery Road - New Deal,"250,000"
Bar Francis - New Deal,"250,000"
Sweet Polly - New Deal,"250,000"
LoreSF - New Deal,"250,000"
South Edison - New Deal,Contract not found
Perbacco - New Deal,"250,000"
BierWax - New Deal,"250,000"
Asano Cafe - New Deal,0
Beanstalk Cafe - Inner Richmond - New Deal,"250,000"
AQUA NYC,"250,000"
Lagos TSQ - New Deal,0
Native Brooklyn - New Deal,Contract not found
Native Harlem - New Deal,Contract not found
Maison Premiere Williamsburg,"250,000"
The Daily (Charleston - King St) Regulars,"250,000"
GERTIE Williamsburg,"250,000"